Source,Target,Weight,Type
Bronte_Jane,Bronte_Shirley,60,undirected
Bronte_Jane,Bronte_Vilette,40,undirected
Bronte_Jane,Dickens_Expectations,13,undirected
Bronte_Jane,Dickens_Oliver,10,undirected
Bronte_Jane,Dickens_Tale,10,undirected
Bronte_Jane,Twain_Prince,2,undirected
Bronte_Shirley,Bronte_Jane,60,undirected
Bronte_Shirley,Bronte_Vilette,50,undirected
Bronte_Shirley,Dickens_Expectations,16,undirected
Bronte_Shirley,Stein_Americans,1,undirected
Bronte_Shirley,Stein_Buttons,4,undirected
Bronte_Shirley,Stein_Lives,2,undirected
Bronte_Shirley,Wharton_House,1,undirected
Bronte_Vilette,Bronte_Jane,40,undirected
Bronte_Vilette,Bronte_Shirley,50,undirected
Bronte_Vilette,Dickens_Expectations,8,undirected
Bronte_Vilette,Stein_Buttons,1,undirected
Bronte_Vilette,Wharton_House,6,undirected
Bronte_Vilette,Wharton_Valley,13,undirected
Dickens_Expectations,Bronte_Jane,13,undirected
Dickens_Expectations,Bronte_Shirley,16,undirected
Dickens_Expectations,Bronte_Vilette,8,undirected
Dickens_Expectations,Dickens_Oliver,49,undirected
Dickens_Expectations,Dickens_Tale,59,undirected
Dickens_Expectations,Fitzgerald_Damned,3,undirected
Dickens_Expectations,Lawrence_Sons,4,undirected
Dickens_Expectations,Stein_Americans,6,undirected
Dickens_Expectations,Stein_Buttons,3,undirected
Dickens_Expectations,Twain_Huckleberry,14,undirected
Dickens_Expectations,Twain_Prince,4,undirected
Dickens_Expectations,Twain_Sawyer,17,undirected
Dickens_Expectations,Wharton_Innocence,3,undirected
Dickens_Expectations,Woolf_Lighthouse,1,undirected
Dickens_Oliver,Bronte_Jane,10,undirected
Dickens_Oliver,Dickens_Expectations,49,undirected
Dickens_Oliver,Dickens_Tale,42,undirected
Dickens_Oliver,Twain_Prince,3,undirected
Dickens_Tale,Bronte_Jane,10,undirected
Dickens_Tale,Dickens_Expectations,59,undirected
Dickens_Tale,Dickens_Oliver,42,undirected
Dickens_Tale,Twain_Prince,22,undirected
Fitzgerald_Damned,Dickens_Expectations,3,undirected
Fitzgerald_Damned,Fitzgerald_Gatsby,39,undirected
Fitzgerald_Damned,Fitzgerald_Tender,60,undirected
Fitzgerald_Damned,Twain_Sawyer,1,undirected
Fitzgerald_Damned,Wharton_House,1,undirected
Fitzgerald_Damned,Wharton_Innocence,11,undirected
Fitzgerald_Gatsby,Fitzgerald_Damned,39,undirected
Fitzgerald_Gatsby,Fitzgerald_Tender,50,undirected
Fitzgerald_Gatsby,Lawrence_Sons,7,undirected
Fitzgerald_Gatsby,Twain_Sawyer,2,undirected
Fitzgerald_Gatsby,Wharton_Innocence,1,undirected
Fitzgerald_Tender,Fitzgerald_Damned,60,undirected
Fitzgerald_Tender,Fitzgerald_Gatsby,50,undirected
Fitzgerald_Tender,Lawrence_Rainbow,8,undirected
Fitzgerald_Tender,Lawrence_Sons,6,undirected
Fitzgerald_Tender,Lawrence_Women,10,undirected
Fitzgerald_Tender,Stein_Lives,7,undirected
Fitzgerald_Tender,Twain_Huckleberry,5,undirected
Fitzgerald_Tender,Twain_Sawyer,6,undirected
Fitzgerald_Tender,Wharton_House,4,undirected
Fitzgerald_Tender,Wharton_Innocence,30,undirected
Fitzgerald_Tender,Woolf_Dalloway,12,undirected
Fitzgerald_Tender,Woolf_Lighthouse,7,undirected
Fitzgerald_Tender,Woolf_Years,7,undirected
Lawrence_Rainbow,Fitzgerald_Tender,8,undirected
Lawrence_Rainbow,Lawrence_Sons,42,undirected
Lawrence_Rainbow,Lawrence_Women,60,undirected
Lawrence_Rainbow,Woolf_Lighthouse,2,undirected
Lawrence_Sons,Dickens_Expectations,4,undirected
Lawrence_Sons,Fitzgerald_Gatsby,7,undirected
Lawrence_Sons,Fitzgerald_Tender,6,undirected
Lawrence_Sons,Lawrence_Rainbow,42,undirected
Lawrence_Sons,Lawrence_Women,48,undirected
Lawrence_Sons,Stein_Americans,1,undirected
Lawrence_Sons,Stein_Lives,11,undirected
Lawrence_Sons,Twain_Sawyer,1,undirected
Lawrence_Sons,Woolf_Lighthouse,3,undirected
Lawrence_Sons,Woolf_Years,3,undirected
Lawrence_Women,Fitzgerald_Tender,10,undirected
Lawrence_Women,Lawrence_Rainbow,60,undirected
Lawrence_Women,Lawrence_Sons,48,undirected
Stein_Americans,Bronte_Shirley,1,undirected
Stein_Americans,Dickens_Expectations,6,undirected
Stein_Americans,Lawrence_Sons,1,undirected
Stein_Americans,Stein_Buttons,15,undirected
Stein_Americans,Stein_Lives,51,undirected
Stein_Americans,Twain_Huckleberry,12,undirected
Stein_Americans,Wharton_Valley,3,undirected
Stein_Americans,Woolf_Dalloway,2,undirected
Stein_Americans,Woolf_Lighthouse,3,undirected
Stein_Buttons,Bronte_Shirley,4,undirected
Stein_Buttons,Bronte_Vilette,1,undirected
Stein_Buttons,Dickens_Expectations,3,undirected
Stein_Buttons,Stein_Americans,15,undirected
Stein_Buttons,Stein_Lives,18,undirected
Stein_Buttons,Twain_Huckleberry,10,undirected
Stein_Buttons,Twain_Sawyer,3,undirected
Stein_Buttons,Wharton_House,1,undirected
Stein_Buttons,Wharton_Valley,6,undirected
Stein_Buttons,Woolf_Lighthouse,1,undirected
Stein_Lives,Bronte_Shirley,2,undirected
Stein_Lives,Fitzgerald_Tender,7,undirected
Stein_Lives,Lawrence_Sons,11,undirected
Stein_Lives,Stein_Americans,51,undirected
Stein_Lives,Stein_Buttons,18,undirected
Stein_Lives,Twain_Huckleberry,30,undirected
Stein_Lives,Wharton_House,2,undirected
Twain_Huckleberry,Dickens_Expectations,14,undirected
Twain_Huckleberry,Fitzgerald_Tender,5,undirected
Twain_Huckleberry,Stein_Americans,12,undirected
Twain_Huckleberry,Stein_Buttons,10,undirected
Twain_Huckleberry,Stein_Lives,30,undirected
Twain_Huckleberry,Twain_Sawyer,42,undirected
Twain_Prince,Bronte_Jane,2,undirected
Twain_Prince,Dickens_Expectations,4,undirected
Twain_Prince,Dickens_Oliver,3,undirected
Twain_Prince,Dickens_Tale,22,undirected
Twain_Prince,Twain_Sawyer,49,undirected
Twain_Prince,Wharton_Valley,1,undirected
Twain_Sawyer,Dickens_Expectations,17,undirected
Twain_Sawyer,Fitzgerald_Damned,1,undirected
Twain_Sawyer,Fitzgerald_Gatsby,2,undirected
Twain_Sawyer,Fitzgerald_Tender,6,undirected
Twain_Sawyer,Lawrence_Sons,1,undirected
Twain_Sawyer,Stein_Buttons,3,undirected
Twain_Sawyer,Twain_Huckleberry,42,undirected
Twain_Sawyer,Twain_Prince,49,undirected
Wharton_House,Bronte_Shirley,1,undirected
