"Bronte_Jane" "Bronte_Shirley" "Bronte_Vilette" "Dickens_Expectations" "Dickens_Oliver" "Dickens_Tale" "Fitzgerald_Damned" "Fitzgerald_Gatsby" "Fitzgerald_Tender" "Lawrence_Rainbow" "Lawrence_Sons" "Lawrence_Women" "Stein_Americans" "Stein_Buttons" "Stein_Lives" "Twain_Huckleberry" "Twain_Prince" "Twain_Sawyer" "Wharton_House" "Wharton_Innocence" "Wharton_Valley" "Woolf_Dalloway" "Woolf_Lighthouse" "Woolf_Years"
"the" 4.16355130204439 4.20332174870772 4.31065468549422 4.38940247419346 6.0734230754619 5.84301584410854 4.89020676390447 4.82471154427015 5.39276265802506 5.54212376184897 4.59448442851841 4.67674259755185 2.46345882208438 3.6566615415469 2.43061200789688 4.29809203142537 5.89937831332418 5.0903933798725 5.50736874424317 5.37535209194139 8.02166154166206 4.9748051704172 4.98061737257717 6.06062966973892
"and" 3.52481254406016 3.04177406740679 3.27496790757381 3.8153249063418 3.39445591196323 3.62775450737571 3.12389806058663 3.15539356839371 2.83872975768727 3.24581957609969 2.85147623364219 2.95393188988757 3.06243474789658 5.26104686142122 4.21089304378121 5.70056116722783 4.64271474770744 4.24497776309086 2.62741786920479 3.22403352602291 3.16471743130002 2.86532502895058 3.49174443646805 2.43936643475415
"to" 2.72799128409989 2.71228325103776 2.44569961489089 2.7377840066841 2.44785796598579 2.53068657803679 2.42186247796121 2.2734137451924 2.5137542452787 2.57908190435616 2.28689975725645 2.27196339704878 2.77590124669901 1.53753593154623 4.10869817675067 2.61459034792368 2.42324901430913 2.35036556652485 3.20693890082898 2.94628573671865 2.90857555210277 2.2878783136678 2.28571428571429 2.10824834635731
"of" 2.31302471641281 2.40685637069568 2.49807445442875 2.38848610624478 2.42822951359429 2.91822983063194 2.78089437409841 2.24522260929099 2.49453034172777 2.46245606560869 1.72536517998917 2.37496340789089 3.51881563593932 1.41052209372284 1.05330391359889 1.468911335578 2.47493317975753 1.96345711649937 3.64445809026712 2.69798117596255 4.20228707393659 2.40368063597383 2.29145728643216 1.93061323069971
"a" 2.37978252974728 2.27033981054278 2.41643132220796 2.18149475783629 2.35731381463143 2.13950100163905 2.83218464497516 2.83522281065625 2.65839123389998 2.2126957077431 2.0173874953611 2.33810024611582 2.31625775348523 7.45370679858279 1.40866333759145 2.62267115600449 2.45425951357817 2.51283957756757 2.31194350629414 2.10715372309625 2.32152957008471 2.1329535851773 1.95118449389806 2.41053968352902
"in" 1.47134220589178 1.51371412969536 1.59383825417202 1.63059590868663 1.50062684412476 1.88890912402113 1.7150184324411 1.62300396689555 1.75120607109183 1.74619235275322 1.44490208126738 1.71088439061941 3.95523705705337 2.21271475366 1.19962838230171 1.28664421997755 1.42795965681714 1.29428449474713 1.63340497390236 1.63802494822899 1.87945729126712 1.76676786329066 1.51758793969849 1.70311562643647
"was" 1.34904189186302 1.15599446529471 1.48703465982028 1.52871735439183 1.12958577633695 1.29156802039701 1.50665170700433 1.54648516944886 1.5397431320316 2.67067845350943 1.96445845069994 1.95266336343825 2.62447798317263 0.815562537602781 2.18441528277784 1.85858585858586 1.40728599063778 1.60821732964325 1.48142462388701 1.36125859987634 1.29826226588047 1.97333416794467 1.95836324479541 2.12616767819996
"he" 1.01311657516396 1.15969660929886 1.14300385109114 1.19020025334879 1.52025529651627 1.35275906028046 1.79676230165091 1.71965928998611 1.6505094334441 2.48322505059112 3.2596990953392 2.19552654689753 1.39294049008168 0.0467945718296678 1.36917895714783 1.51021324354658 1.90788405026654 1.71836920153662 0.861221983420325 1.72929895672827 1.55570435766248 1.82936371318582 1.98707824838478 2.17135555849883
"i" 3.86874879835936 2.0255355382686 3.03106546854942 3.49459612430262 1.05993642914129 1.44527408486614 0.90960089757974 2.79897706449729 1.15892675692747 0.444669293854511 1.23805294121226 1.07878958724101 0.996246084873795 0.0133698776656194 1.56311694344443 2.97014590347924 0.927361597188381 1.3961749762485 0.986337120049125 0.878389651686606 0.594197151234227 0.159619417232637 0.124910265613783 0.617827397879286
"her" 0.916451261455641 1.55582601774253 1.10551989730424 0.631754844621729 0.498942596274393 0.761245674740484 1.09953518192018 0.79740641549707 1.18638947628594 2.78091383533923 1.9675003498184 1.69353702037232 1.37893047964134 0.0668493883280968 2.19835094646383 0.316049382716049 0.268757660331665 0.391039145221474 2.58903899293829 1.83235025664681 0.895196364605613 1.96237989421301 1.98707824838478 2.0957827242059
"she" 0.790412509880156 1.37673480154194 0.994094993581515 0.47866749319462 0.353312143047096 0.335822254598434 1.15964096810386 0.829624856527255 1.33285731286445 2.96570454787517 2.38606566851817 2.07030021792634 0.833883498126881 0.00668493883280968 1.88595981883637 0.446240179573513 0.242177232386775 0.556266953061534 2.13540067546822 1.28961341040916 0.609799702251318 2.38333698475791 2.75376884422111 3.51764275085117
"it" 1.28388626604858 1.29065995344554 1.14916559691913 1.43869767943293 1.09159522332113 1.50500819522856 1.03542234332425 1.22027345401824 1.06097639121559 1.20513366705719 1.435776383912 1.5650580594798 1.3121430326107 2.88120863694097 1.63279526187435 2.08933782267116 1.24632673252706 1.80511380065265 1.13985262511514 1.05014181821751 0.742421385896594 1.39275766016713 1.60516870064609 1.20371163899558
"that" 0.887611886095149 1.0014299531216 1.00590500641849 1.61065142980352 1.16694315346917 1.4139501001639 1.25340599455041 1.29075129377177 1.12047894982561 0.683778890190649 0.652791550821009 0.795810610085327 1.80191764416876 2.23276957015843 1.32504935547555 0.974186307519641 1.06764718911974 1.40856706183651 1.25498925391465 1.35831427702152 1.20074632202365 1.05943475947545 1.47451543431443 0.752611937391413
"his" 0.643545320544316 0.845939904947453 0.848267008985879 1.00207530388378 1.48353109526764 1.46494263340011 1.09071966661324 0.994744366806951 0.98041908109741 1.28874214506337 1.45950319703597 1.04572116270749 0.433926487747958 0 0.444779932644292 0.501010101010101 1.70114738847295 1.12217219491374 0.697727970525023 1.1826363466842 1.59731116037472 0.784013019936778 1.10696338837042 0.894408389363708
"had" 0.795753134946914 0.64509859272251 0.796405648267009 1.1282106568202 0.775007281522661 0.951374977235476 1.04904632152589 0.767201627031272 0.950210089803092 0.760464373202684 0.690511099889883 0.516084264850975 0.830812810907081 0.0467945718296678 1.21124143537336 0.413916947250281 0.502074750070143 0.704971980117587 1.37780165796745 1.39560903318252 1.06487410691648 1.43813965134112 1.34099066762383 1.03230933441369
"you" 1.59951720749397 1.49751724967722 0.876508344030809 1.17726329407326 1.02891081084504 1.03951921325806 0.881551530694021 1.047099333481 1.08294656670237 0.497923101501757 1.28246466834174 1.24575802586927 0.0915448627402813 0.0267397553312387 1.93589594704448 1.22289562289562 0.193446447821143 1.22957027000978 0.947958243782622 0.783189879380907 0.496681207377406 0.175268379706425 0.176597272074659 0.462786222371117
"with" 0.74822157185277 0.716827632802847 0.834916559691913 0.94871034687222 0.990287081945623 0.955017301038062 0.914409360474435 0.853788687299893 1.00696637647727 0.994248588774097 0.910136216242524 0.935131677382282 0.58726893078671 0.4144662076342 1.09743351527116 0.476767676767677 1.10456445015431 0.889476365538987 1.016272643537 0.928443140218469 1.08697772085736 0.896685549748052 0.8183776022972 0.890512882441392
"one" 0.315096878938711 0.261001152292321 0.277278562259307 0.266285745087998 0.287461851153013 0.319796029867055 0.392691136400064 0.302047884657981 0.315821272622415 0.2417722867185 0.22327539529479 0.380557934795572 3.47429067125223 0.227287920315529 0.221809313668563 0.342985409652076 0.276141112538579 0.256103102152092 0.315474362910654 0.36607747494872 0.272394536506719 0.486682732934806 0.651830581478823 0.278918295637811
"not" 0.827796885347461 0.92275939303349 0.990500641848524 0.575155647791284 0.500208948041587 0.622837370242215 0.334989581663728 0.146996637200217 0.411025366398447 0.771647672808606 0.683818921829277 0.577884271356239 1.41520297242523 2.19265993716157 0.858204621995122 0.14635241301908 0.750158744222449 0.38828534842414 0.555726128338962 0.502497767221835 0.455074404665163 0.657256423899095 0.732232591529074 0.398120807460675
"as" 0.842750635534383 0.823727040922574 0.8 0.9557178664798 0.836425342231565 0.847204516481515 0.696425709248277 0.543686192384366 0.670090352346689 0.721056555543721 0.639407194699795 0.66570533323214 0.725833691580176 0.173808409653052 0.321681570084775 0.486644219977553 0.476971012566636 0.542497969074862 0.773718145532699 0.844039218380426 0.823684672443945 0.646302150167444 0.71356783919598 0.76663576231175
"him" 0.380252504753156 0.466470144522447 0.407702182284981 0.619895965285826 0.676231843681538 0.710981606264797 0.529732328898862 0.559795412899458 0.569393714698963 0.972947065715199 1.02816190203868 0.707447442889204 0.949801940674323 0 0.678202299384508 0.652749719416386 0.87863081262275 0.597573905021549 0.436751611912803 0.538811082431226 0.616950871467485 0.666645801383368 0.60875807609476 0.493950277749644
"for" 0.692679071158488 0.677029584758273 0.677792041078305 0.746031318222246 0.730684969670875 0.698597705336004 0.683603141529091 0.624232294959828 0.720438671170553 0.618276706784535 0.621764179812741 0.547526373423829 0.560016581710987 0.233972859148339 0.932528161653699 0.75959595959596 0.832853408939884 0.72287165930026 0.752993552348787 0.657565437575448 0.685862138459638 0.827830114863385 0.826992103374013 0.477589148675917
"is" 0.722586571532332 0.953302081067698 0.451347881899872 0.353071180228014 0.459685691491382 0.602440356947733 0.262061227760859 0.211433519260587 0.331383480258882 0.174139951006497 0.251260867184601 0.633721119339065 1.43573819320764 6.78521291530183 0.299616769248635 0.283726150392817 0.592152866994492 0.242334118165421 0.276327909118821 0.249286001707707 0.38616313767301 0.24725360708585 0.216798277099785 0.174518710119748
"but" 0.660101258251266 0.677492352758791 0.683440308087291 0.575694687761097 0.459685691491382 0.480058277180841 0.470427953197628 0.515495056482954 0.598687282014665 0.589519650655022 0.67347646482652 0.654863226827708 0.247574157096358 0.0735343271609065 0.577168737661131 0.929292929292929 0.800366219229463 0.798601071226954 0.817470064476512 0.676212815655946 0.681961500705365 0.765234264968233 0.677674084709261 0.804032628765981
"be" 0.549016256862703 0.63445492871059 0.513478818998716 0.55736732878743 0.489444958020439 0.556547077035148 0.419137682320885 0.249692917983931 0.395463158761981 0.386090105442539 0.358944095978001 0.475426365834354 1.23211324694467 0.668493883280968 0.932528161653699 0.328619528619529 0.528655178015033 0.402054332410811 0.463616825299355 0.454407160593183 0.33155420911319 0.383399580607806 0.529791816223977 0.246975138874822
"on" 0.606695007583688 0.580773840650467 0.58382541720154 0.764897717165728 0.593285802930338 0.672372973957385 0.571405673986216 0.724914923179155 0.641712209009603 0.590052188731494 0.72093009107446 0.523131634013856 0.22684701836271 0.100274082492145 0.277551968412496 0.794612794612795 0.329301968428358 0.510829305905517 0.707706478354314 0.759635296542383 0.780127550854565 0.697943726330944 0.719310839913855 0.984784149961434
"at" 0.627523445344043 0.595582416667052 0.570988446726573 0.883486510524755 0.627477300644573 0.752504097614278 0.600256451354384 0.819556593705322 0.668259504389458 0.61721163063159 0.773859135735622 0.681968492838789 0.151039427623902 0.140383715489003 0.20555103936825 0.371717171717172 0.540468701546095 0.497060321918846 0.609456555112066 0.759635296542383 0.691062988798669 0.691684141341429 0.804020100502513 0.871035347829813
"them" 0.210420627630258 0.300799200336895 0.185879332477535 0.198366708891464 0.232375549280079 0.290657439446367 0.221990703638404 0.165119510279696 0.30849788079349 0.240174672489083 0.224492154942174 0.255873711144601 2.32969201007185 0.0334246941640484 0.336778539077924 0.465993265993266 0.236270470621244 0.235449626172085 0.208013509364446 0.201195395079055 0.20088284434505 0.317673938217896 0.480976310122039 0.33033898701238
"they" 0.271837815897973 0.442406208495495 0.230551989730424 0.195671509042395 0.430559600845923 0.413039519213258 0.497675909600898 0.338293630816939 0.547423539212186 0.53733091916072 0.60533792457307 0.562163217069812 0.937903027697599 0.227287920315529 0.487748229009407 0.643771043771044 0.385416205200904 0.848169413578972 0.273257599017501 0.347430096868222 0.269144005044825 0.61187443272511 0.852835606604451 0.779880485847623
"this" 0.355151566939395 0.353091984395463 0.512451861360719 0.40266285745088 0.506540706877556 0.403569477326534 0.395095367847411 0.334266325688166 0.32955263230165 0.301949089359889 0.208674279526194 0.371884249672026 1.1534268869373 0.815562537602781 0.378585530135873 0.230751964085297 0.574432581697899 0.39792363721481 0.296284924777403 0.296395167384754 0.398515157228207 0.420957090544897 0.424982053122757 0.186984332271158
"then" 0.263826878297836 0.177240144198509 0.180231065468549 0.236099506778428 0.158927146782833 0.186486978692406 0.274883795480045 0.287952316707275 0.243502778311775 0.315262541271701 0.445334030942198 0.344236878340724 1.57603021556224 0.240657797981148 0.502845198002555 0.537822671156004 0.454820655945894 0.422707808390819 0.13816395455941 0.186473780804978 0.120269664090079 0.194047134674971 0.337401292175162 0.382538779771412
"all" 0.340731879259148 0.334581264374731 0.367137355584082 0.395655337843301 0.384970937226943 0.404297942087052 0.38708126302292 0.445017216729426 0.382647223061361 0.406326552348493 0.343126220562021 0.456452679626598 0.671137075477492 0.922521558927736 1.00569039600511 0.765881032547699 0.398706419173349 0.451622674762829 0.292447037150752 0.332708482594145 0.220386033116415 0.516415761635004 0.65470208183776 0.303070438556169
"have" 0.575185319689816 0.620109120694522 0.472400513478819 0.584319327278118 0.48311319918447 0.541977781824804 0.309344446225357 0.275870401320956 0.37440840725382 0.190116093300671 0.309056950435296 0.264547396268147 0.824863354418719 0.160438531987432 0.369295087678551 0.160718294051627 0.261374208124751 0.224434438982747 0.432146146760823 0.374910443513166 0.358208567100721 0.259772777064881 0.272792534099067 0.148808364432464
"said" 0.311892503898656 0.245729808275217 0.30397946084724 0.727164919278764 0.780072688591437 0.481515206701876 0.201955441577176 0.473208352630837 0.388139766933055 0.413782085419107 0.999568050325179 0.933505361421617 0.0523936006878339 0.00668493883280968 0.238067587968877 0.441750841750842 0.398706419173349 0.49017582992551 0.151980350015352 0.320931191174883 0.258092198074385 0.643172357672686 0.607322325915291 1.34239168543003
"there" 0.273440003418 0.28599062432031 0.271116816431322 0.372476619141309 0.327351931819621 0.426151884902568 0.301330341400866 0.440989911600652 0.346945687895349 0.435083608478006 0.429516155526218 0.532889529777845 0.657127065037155 2.60044120596297 0.326326791313436 0.525252525252525 0.293861397835172 0.465391658749501 0.2655818237642 0.258118970272154 0.16317667938708 0.48198804419267 0.547020818377602 0.572639517580423
"me" 1.09536220119203 0.531720432595527 0.891399229781772 1.07592377974827 0.380538706041764 0.385357858313604 0.266869690655554 0.656450735990012 0.307582456814874 0.107572691447438 0.275596060132262 0.23527370897618 0.22531167475281 0.0133698776656194 0.634072697712229 0.679685746352413 0.397229728731966 0.290525562118771 0.350015351550507 0.240453033143261 0.208684119853596 0.0641607461425308 0.050251256281407 0.151145668585853
